BAIRRO;RPA;MICROREGIAO;DIST_MARCO_ZERO;HECTARES;HABITANTES;NUM_HOMENS;POR_HOMENS;NUM_MULHERES;POR_MULHERES;0_4ANOS;0_4ANOS%;5_14ANOS;5_14ANOS%;15_17ANOS;15_17ANOS%;18_24ANOS;18_24ANOS%;25_59ANOS;25_59ANOS%;60_ANOS;60_ANOS%;BRANCA;PRETA;PARDA;AMARELA;INDIGENA;ALFABETIZADOS;CRESCIMENTO_ANUAL;DENSIDADE;DOMICILIOS;MEDIA_MORADORES;MULHERES_RESPONSAVEIS;RENDA
AFLITOS;3;3.1;3.72;31.0;5773;2541;44.02;3232;55.98;240;4.16;546;9.46;224;3.88;695;12.04;3030;52.49;1038;17.97;76.11;1.87;21.13;0.87;0.02;99.0;2.8;187.63;1937;3.0;51.24;1028.96
ALTO DO MANDU;3;3.1;7.73;25.0;4655;2091;44.92;2564;55.08;230;4.45;610;13.1;201;4.45;541;11.62;2350;50.48;717;15.41;38.8;7.15;53.32;0.6;0.13;94.0;-0.89;184.89;1351;3.4;44.4;2323.28
ALTO JOSE BONIFACIO;3;3.2;7.27;57.0;12462;5863;47.05;6599;52.95;911;7.31;2085;16.73;696;5.58;1596;12.73;5996;48.11;1188;9.54;25.49;14.81;58.9;0.67;0.13;91.0;0.07;219.26;3570;3.5;42.64;908.76
ALTO JOSE DO PINHO;3;3.2;6.05;41.0;12334;5617;45.54;6717;54.46;785;6.36;2027;16.43;644;5.22;1507;12.22;6022;48.82;1349;10.95;29.02;15.65;53.57;1.39;0.37;91.0;-0.08;298.4;3510;3.5;53.72;1101.22
APIPUCOS;3;3.1;8.87;134.0;3342;1567;46.89;1775;53.11;227;6.79;1255;14.9;405;4.43;1095;13.14;3726;49.64;731;11.1;31.42;7.09;59.84;1.44;0.21;91.0;-0.37;25.01;991;3.4;51.26;2162.86
BREJO DA GUABIRABA;3;3.3;10.37;75.0;11362;5564;47.43;6168;52.57;871;7.42;2100;17.9;671;5.72;1596;13.52;5585;47.6;919;7.84;32.04;11.15;54.19;1.93;0.69;87.0;0.32;155.5;3426;3.4;47.17;1037.66
BREJO DE BEBERIBE;3;3.3;9.34;64.0;8292;3938;47.49;4354;52.51;655;7.9;1514;18.26;450;5.43;1094;13.19;3978;47.97;601;7.25;31.5;9.85;57.18;1.45;0.02;90.0;3.62;129.86;2459;3.4;48.21;1058.37
CASA AMARELA;3;3.1;6.5;188.0;29180;12995;44.53;16185;55.47;1552;5.32;3428;11.75;1196;4.1;3154;10.81;15179;52.02;4671;16.0;54.91;6.66;36.97;1.21;0.25;96.0;1.34;155.09;9296;3.4;48.04;4236.69
CASA FORTE;3;3.1;6.24;56.0;6750;3014;44.65;3736;55.35;329;4.87;673;9.97;230;3.41;715;10.6;3554;52.65;1249;18.5;77.41;1.81;20.16;0.52;0.1;99.0;4.2;120.24;2192;3.1;45.87;11318.97
CORREGO DO JENIPAPO;3;3.3;9.92;61.0;9246;4418;47.78;4828;52.22;642;6.94;1524;16.48;501;5.42;1131;12.23;4540;49.1;908;9.83;31.35;9.16;58.44;0.75;0.3;89.0;0.72;150.74;2732;3.4;46.0;1068.84
DERBY;3;3.1;3.26;47.0;2071;855;41.28;1216;58.72;62;2.99;144;6.95;66;3.19;330;15.93;1049;50.65;420;20.29;68.71;2.85;27.95;0.39;0.1;98.0;-0.49;43.85;656;3.1;46.8;7785.05
