;date;description;link;name;raw_description;type;type_code
131;15/11/2016;A Proclamação da República foi um levante político-militar ocorrido em 15 de novembro de 1889 que instaurou a forma Republicana Federativa Presidencialista de governo no Brasil, derrubando a Monarquia e, por conseguinte, o imperador dom Pedro II.;http://www.calendario.com.br/feriados-nacionais/proclamacao-da-republica.php;Proclamação da República;;Feriado Nacional;1
132;20/11/2016;Apesar de ser comemorado em todo o território nacional, conforme indica a Lei Federal nº 12.519, de 10 de novembro de 2011, o Dia Nacional de Zumbi e da Consciência Negra não é feriado. No entanto, alguns municípios decretam feriado municipal neste dia.;http://www.calendario.com.br/feriados-nacionais/consciencia-negra.php;Consciência Negra;;Dia Convencional;9
133;08/12/2016;conforme a Lei nº 9.777 de junho de 1967;http://www.calendario.com.br/docs/pe/recife/l9777.html;Dia de Nossa Senhora da Conceição;conforme a Lei nº 9.777 de junho de 1967;Feriado Municipal;3
134;25/12/2016;O Natal é comemorado anualmente em 25 de Dezembro. Originalmente destinado a celebrar o nascimento anual do Deus Sol no solstício de inverno, foi adaptado pela Igreja Católica no 3o século d.C., para permitir a conversão dos povos pagãos sob o domínio do Império Romano, passando a comemorar o nascimento de Jesus de Nazaré.;http://www.calendario.com.br/feriados-nacionais/natal.php;Natal;;Feriado Nacional;1
135;01/01/2017;O Ano-Novo ou Réveillon é um evento que acontece quando uma cultura celebra o fim de um ano e o começo do próximo. A celebração do evento é também chamada Réveillon, termo oriundo do verbo francês réveiller, que em português significa DESPERTAR;http://www.calendario.com.br/feriados-nacionais/ano-novo.php;Ano Novo;;Feriado Nacional;1
136;27/02/2017;Ponto Facultativo, ou seja, cabe às empresas e orgão públicos decidirem se trabalharão ou não.;http://www.calendario.com.br/feriados-nacionais/carnaval.php;Carnaval;;Facultativo;4
137;28/02/2017;Carnaval NÃO é um feriado oficial, é Ponto Facultativo, ou seja, cabe às empresas e orgão públicos decidirem se trabalharão ou não.;http://www.calendario.com.br/feriados-nacionais/carnaval.php;Carnaval;;Facultativo;4
138;01/03/2017;Ponto Facultativo até às 14h.;http://www.calendario.com.br/feriados-nacionais/carnaval.php;Carnaval;;Facultativo;4
139;06/03/2017;Data Magna de Pernambuco (Lei nº 16.059, de 8 de junho de 2017). A chamada Revolução Pernambucana, também conhecida como Revolução dos Padres, eclodiu em 6 de março de 1817 na então Província de Pernambuco, no Brasil.;http://www.calendario.com.br/docs/pe/data_magna_pernambuco.html;Revolução Pernambucana;Data Magna de Pernambuco (Lei nº 16.059, de 8 de junho de 2017). A chamada Revolução Pernambucana, também conhecida como Revolução dos Padres, eclodiu em 6 de março de 1817 na então Província de Pernambuco, no Brasil.;Feriado Estadual;2
140;01/04/2017;Dia da mentira, dia das petas, dia dos tolos ou dia dos bobos.;;Dia da Mentira;;Dia Convencional;9
141;14/04/2017;"Também chamada de ""Sexta Feira da Paixão"" é a sexta-feira que ocorre antes do domingo de Páscoa, e é o dia que os cristãos lembram da crucificação de Cristo.";http://www.calendario.com.br/feriados-nacionais/sexta-feira-santa.php;Sexta-Feira Santa;;Feriado Nacional;1
142;14/04/2017;conforme a Lei nº 9.777 de junho de 1967;http://leismunicipa.is/ochsi;Sexta-feira Santa;conforme a Lei nº 9.777 de junho de 1967;Feriado Municipal;3
143;16/04/2017;A Páscoa é um evento religioso cristão, normalmente considerado pelas igrejas ligadas a esta corrente religiosa como a maior e a mais importante festa da Cristandade. Na Páscoa os cristãos celebram a Ressurreição de Jesus Cristo depois da sua morte.;;Páscoa;;Dia Convencional;9
