,BAIRRO,GRUPOSERVICO_DESCRICAO,VALUE
194,AREIAS,FISCALIZACAO URBANA,4.890349128221754
195,AREIAS,ILUMINACAO PROVISORIA,5.332718793265369
196,AREIAS,ILUMINACAO PUBLICA,8.150467911624004
197,AREIAS,ILUMINACAO RELUZ,6.654152520183219
198,AREIAS,LIMPEZA URBANA,7.527793987721444
199,AREIAS,LUMINARIAS,5.318119993844216
200,AREIAS,MACRODRENAGEM,4.727387818712341
201,AREIAS,MANUT. URBANA,3.1780538303479458
202,AREIAS,NECROPOLES,1.0986122886681098
203,AREIAS,PAVIMENTACAO,6.669498089857879
204,AREIAS,PLANEJAMENTO DE LIMPEZA URBANA,4.290459441148391
205,AREIAS,POSTE,4.276666119016055
206,AREIAS,PRACAS,5.3471075307174685
207,AREIAS,PROJETOS,2.4849066497880004
208,AREIAS,SEMENTEIRA,3.367295829986474
209,AREIAS,TABLADOS,3.4657359027997265
210,AREIAS,TERRAPLENAGEM,4.454347296253507
211,AREIAS,VAO DE REDE,3.8066624897703196
212,ARRUDA,ARBORIZACAO,6.317164686747284
213,ARRUDA,CALCADAS ARVORES,0.6931471805599453
214,ARRUDA,COLETA SELETIVA,2.0794415416798357
215,ARRUDA,COLETA URBANA,4.859812404361672
216,ARRUDA,CONSERVACAO,6.698268054115413
217,ARRUDA,DENUNCIAS,2.9444389791664403
218,ARRUDA,DRENAGEM,6.297109319933935
219,ARRUDA,ESTUDO ASFALTO,0.6931471805599453
220,ARRUDA,FISCALIZACAO URBANA,4.605170185988092
221,ARRUDA,ILUMINACAO PROVISORIA,5.438079308923196
222,ARRUDA,ILUMINACAO PUBLICA,7.089243155027514
223,ARRUDA,ILUMINACAO RELUZ,5.648974238161206
224,ARRUDA,LIMPEZA URBANA,6.897704943128636
225,ARRUDA,LUMINARIAS,4.143134726391533
226,ARRUDA,MACRODRENAGEM,3.58351893845611
227,ARRUDA,MANUT. URBANA,2.302585092994046
228,ARRUDA,PAVIMENTACAO,6.467698726104354
229,ARRUDA,PLANEJAMENTO DE LIMPEZA URBANA,3.7612001156935624
230,ARRUDA,POSTE,2.6390573296152584
231,ARRUDA,PRACAS,1.3862943611198906
232,ARRUDA,PROJETOS,0.0
233,ARRUDA,SEMENTEIRA,3.091042453358316
234,ARRUDA,TABLADOS,3.1780538303479458
235,ARRUDA,TERRAPLENAGEM,1.9459101490553132
236,ARRUDA,VAO DE REDE,2.6390573296152584
237,BARRO,ARBORIZACAO,5.905361848054571
238,BARRO,CALCADAS ARVORES,1.3862943611198906
239,BARRO,COLETA SELETIVA,0.0
240,BARRO,COLETA URBANA,4.634728988229636
241,BARRO,CONSERVACAO,7.1929342212158
242,BARRO,DENUNCIAS,2.995732273553991
